WL(nm),Pan,Coastal,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
350,0.000006,0.000002,0.000001,0,0,0,0,0,0
352.5,0.000006,0.000003,0,0,0,0,0,0,0.000007
355,0.000007,0.000003,0,0,0,0,0,0,0.00002
357.5,0.000004,0.000003,0,0,0,0,0,0,0.000087
360,0.000002,0.000002,0,0,0,0,0,0,0.000075
362.5,0.000002,0.000003,0,0,0,0,0,0,0.000005
365,0.000003,0.000004,0,0,0,0,0,0,0
367.5,0.000003,0.000004,0,0,0,0,0,0,0.000001
370,0.000004,0.000003,0,0,0,0,0,0,0
372.5,0.000004,0.000006,0,0,0,0,0,0,0
375,0.000003,0.000005,0,0,0,0,0,0,0
377.5,0.000004,0.000005,0,0,0,0,0,0,0
380,0.000005,0.000007,0,0,0,0,0,0,0
382.5,0.000004,0.000014,0,0,0,0,0,0,0
385,0.000003,0.000045,0.000001,0,0,0,0,0,0
387.5,0.000004,0.000173,0.000001,0,0,0,0,0,0
390,0.000004,0.000635,0.000001,0,0.000001,0,0.000001,0,0
392.5,0.000005,0.003415,0.000001,0,0.000021,0,0.000002,0,0
395,0.000006,0.027428,0.000001,0,0.000027,0,0.000001,0,0
397.5,0.000005,0.132903,0.000001,0.000001,0,0,0.000001,0,0
400,0.000004,0.355988,0.000003,0,0,0,0.000002,0,0
402.5,0.000004,0.59258,0.000002,0,0,0,0.000001,0,0
405,0.000003,0.700719,0.000002,0,0,0,0.000002,0,0
407.5,0.000004,0.739625,0.000001,0,0,0,0.000001,0,0
410,0.000004,0.765307,0.000003,0.000001,0,0,0.000001,0,0
412.5,0.000005,0.787842,0.000006,0,0,0,0.000001,0,0
415,0.000006,0.817088,0.000013,0,0,0.000001,0.000001,0,0
417.5,0.000005,0.838687,0.000028,0.000001,0,0.000001,0.000002,0,0
420,0.000003,0.86178,0.000041,0,0,0,0.000001,0,0
422.5,0.000006,0.883513,0.000052,0,0,0,0.000001,0,0
425,0.000009,0.905055,0.00007,0,0,0,0.000001,0,0
